Execution time (s): 45.706626
Total clicks: 26

Mouse path (time_seconds, x, y):
6.735058, 399, 258
6.740134, 399, 258
6.745668, 399, 258
6.751224, 399, 258
6.756772, 399, 258
6.762326, 399, 258
6.767912, 399, 258
6.773431, 399, 258
6.778993, 399, 258
6.784550, 399, 258
6.790091, 399, 258
6.795654, 399, 258
6.801227, 399, 258
6.806859, 399, 258
6.812333, 399, 258
6.817871, 399, 258
6.823433, 399, 258
6.828997, 399, 258
6.834553, 399, 258
6.840141, 399, 258
6.845657, 399, 258
6.851221, 399, 258
6.857228, 400, 258
6.862710, 401, 259
6.868422, 401, 260
6.873780, 402, 262
6.879488, 403, 262
6.885017, 404, 263
6.890466, 405, 264
6.895670, 405, 264
6.901852, 406, 264
6.906786, 406, 264
6.912691, 407, 265
6.917892, 407, 265
6.923787, 408, 265
6.929001, 408, 265
6.935086, 409, 265
6.940470, 410, 265
6.945661, 410, 265
6.951632, 411, 265
6.957139, 412, 265
6.962318, 412, 265
6.968358, 413, 265
6.973430, 413, 265
6.979502, 414, 265
6.984942, 414, 264
6.990113, 414, 264
6.995662, 414, 264
7.001206, 414, 264
7.006768, 414, 264
7.012314, 414, 264
7.017881, 414, 264
7.023425, 414, 264
7.029005, 414, 264
7.034598, 414, 264
7.040083, 414, 264
7.045666, 414, 264
7.051218, 414, 264
7.057277, 415, 264
7.062716, 416, 263
7.067876, 416, 263
7.074045, 417, 262
7.079810, 419, 260
7.084983, 420, 260
7.090846, 421, 258
7.095982, 422, 258
7.101634, 423, 257
7.107262, 424, 256
7.112678, 425, 255
7.118305, 425, 254
7.123771, 426, 254
7.129354, 426, 253
7.134553, 426, 253
7.140094, 426, 253
7.145633, 426, 253
7.151204, 426, 253
7.157128, 426, 252
7.162307, 426, 252
7.168002, 426, 252
7.173454, 426, 252
7.178961, 426, 252
7.185230, 427, 252
7.190093, 427, 252
7.195638, 427, 252
7.201227, 427, 252
7.206747, 427, 252
7.212310, 427, 252
7.217940, 427, 252
7.223419, 427, 252
7.228982, 427, 252
7.235009, 426, 252
7.240092, 426, 252
7.246034, 425, 252
7.251716, 424, 252
7.257143, 423, 252
7.262686, 422, 252
7.268425, 422, 253
7.273765, 421, 253
7.279367, 420, 253
7.285027, 419, 254
7.290441, 418, 254
7.296125, 417, 254
7.301209, 417, 254
7.307137, 416, 255
7.312738, 415, 255
7.317880, 415, 255
7.323895, 414, 256
7.329364, 413, 256
7.335036, 412, 256
7.340109, 412, 256
7.346347, 411, 257
7.351823, 410, 257
7.356768, 410, 257
7.362779, 409, 257
7.368344, 408, 257
7.373830, 408, 258
7.379408, 407, 258
7.384988, 406, 258
7.390103, 406, 258
7.396025, 405, 258
7.401205, 405, 258
7.406778, 405, 258
7.412731, 404, 258
7.417896, 404, 258
7.423421, 404, 258
7.428977, 404, 258
7.434572, 404, 258
7.440129, 404, 258
7.445656, 404, 258
7.451194, 404, 258
7.456737, 404, 258
7.462281, 404, 258
7.473068, 404, 258
7.478995, 404, 258
7.479254, 404, 258
7.484580, 404, 258
7.490086, 404, 258
7.495650, 404, 258
7.501220, 404, 258
7.506754, 404, 258
7.512713, 403, 258
7.517891, 403, 258
7.523415, 403, 258
7.528976, 403, 258
7.534570, 403, 258
7.540597, 402, 259
7.545641, 402, 259
7.551249, 402, 259
7.556761, 402, 259
7.562714, 401, 259
7.567935, 401, 259
7.573499, 401, 259
7.579410, 400, 259
7.584578, 400, 259
7.590098, 400, 259
7.595637, 400, 259
7.601263, 400, 259
7.606768, 400, 259
7.612302, 400, 259
7.617929, 400, 259
7.623425, 400, 259
7.628972, 400, 259
7.634958, 400, 259
7.640120, 400, 259
7.645640, 400, 259
7.651326, 399, 259
7.656755, 399, 259
7.662304, 399, 259
7.667905, 399, 259
7.673415, 399, 259
7.679427, 398, 259
7.684590, 398, 259
7.690128, 398, 259
7.696124, 397, 259
7.701726, 395, 259
7.707139, 393, 259
7.712762, 391, 259
7.718682, 387, 259
7.723801, 384, 259
7.729721, 380, 259
7.735084, 376, 259
7.740829, 371, 258
